,,,D001,D002,D003
GEO.id,GEO.id2,GEO.display-label,Total:,Total:,Total:
Id,Id2,Geography,,Occupied,Vacant
1000000US060014001001000,060014001001000,"Block 1000, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001001,060014001001001,"Block 1001, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001002,060014001001002,"Block 1002, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001003,060014001001003,"Block 1003, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001004,060014001001004,"Block 1004, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001005,060014001001005,"Block 1005, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001006,060014001001006,"Block 1006, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001007,060014001001007,"Block 1007, Block Group 1, Census Tract 4001, Alameda County, California",56,53,3
1000000US060014001001008,060014001001008,"Block 1008, Block Group 1, Census Tract 4001, Alameda County, California",10,9,1
1000000US060014001001009,060014001001009,"Block 1009, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001010,060014001001010,"Block 1010, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001011,060014001001011,"Block 1011, Block Group 1, Census Tract 4001, Alameda County, California",6,6,0
1000000US060014001001012,060014001001012,"Block 1012, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001013,060014001001013,"Block 1013, Block Group 1, Census Tract 4001, Alameda County, California",3,1,2
1000000US060014001001014,060014001001014,"Block 1014, Block Group 1, Census Tract 4001, Alameda County, California",10,10,0
1000000US060014001001015,060014001001015,"Block 1015, Block Group 1, Census Tract 4001, Alameda County, California",14,12,2
1000000US060014001001016,060014001001016,"Block 1016, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001017,060014001001017,"Block 1017, Block Group 1, Census Tract 4001, Alameda County, California",8,7,1
1000000US060014001001018,060014001001018,"Block 1018, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001019,060014001001019,"Block 1019, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001020,060014001001020,"Block 1020, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001021,060014001001021,"Block 1021, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001022,060014001001022,"Block 1022, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001023,060014001001023,"Block 1023, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
