Id,Id2,Geography,Number,Occupied,Vacant
1000000US060133010001000,060133010001000,"Block 1000, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001001,060133010001001,"Block 1001, Block Group 1, Census Tract 3010, Contra Costa County, California",1,1,0
1000000US060133010001002,060133010001002,"Block 1002, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001003,060133010001003,"Block 1003, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001004,060133010001004,"Block 1004, Block Group 1, Census Tract 3010, Contra Costa County, California",1,1,0
1000000US060133010001005,060133010001005,"Block 1005, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001006,060133010001006,"Block 1006, Block Group 1, Census Tract 3010, Contra Costa County, California",1,1,0
1000000US060133010001007,060133010001007,"Block 1007, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001008,060133010001008,"Block 1008, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001009,060133010001009,"Block 1009, Block Group 1, Census Tract 3010, Contra Costa County, California",1,1,0
1000000US060133010001010,060133010001010,"Block 1010, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001011,060133010001011,"Block 1011, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001012,060133010001012,"Block 1012, Block Group 1, Census Tract 3010, Contra Costa County, California",3,3,0
1000000US060133010001013,060133010001013,"Block 1013, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001014,060133010001014,"Block 1014, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001015,060133010001015,"Block 1015, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001016,060133010001016,"Block 1016, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001017,060133010001017,"Block 1017, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001018,060133010001018,"Block 1018, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001019,060133010001019,"Block 1019, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001020,060133010001020,"Block 1020, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001021,060133010001021,"Block 1021, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001022,060133010001022,"Block 1022, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001023,060133010001023,"Block 1023, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001024,060133010001024,"Block 1024, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001025,060133010001025,"Block 1025, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001026,060133010001026,"Block 1026, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001027,060133010001027,"Block 1027, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001028,060133010001028,"Block 1028, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001029,060133010001029,"Block 1029, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001030,060133010001030,"Block 1030, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001031,060133010001031,"Block 1031, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001032,060133010001032,"Block 1032, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001033,060133010001033,"Block 1033, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001034,060133010001034,"Block 1034, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001035,060133010001035,"Block 1035, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001036,060133010001036,"Block 1036, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001037,060133010001037,"Block 1037, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001038,060133010001038,"Block 1038, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001039,060133010001039,"Block 1039, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001040,060133010001040,"Block 1040, Block Group 1, Census Tract 3010, Contra Costa County, California",24,21,3
1000000US060133010001041,060133010001041,"Block 1041, Block Group 1, Census Tract 3010, Contra Costa County, California",2,1,1
1000000US060133010001042,060133010001042,"Block 1042, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
1000000US060133010001043,060133010001043,"Block 1043, Block Group 1, Census Tract 3010, Contra Costa County, California",0,0,0
