Id,Id2,Geography,Number,Occupied,Vacant
1000000US060411011001000,060411011001000,"Block 1000, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001001,060411011001001,"Block 1001, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001002,060411011001002,"Block 1002, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001003,060411011001003,"Block 1003, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001004,060411011001004,"Block 1004, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001005,060411011001005,"Block 1005, Block Group 1, Census Tract 1011, Marin County, California",7,7,0
1000000US060411011001006,060411011001006,"Block 1006, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001007,060411011001007,"Block 1007, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001008,060411011001008,"Block 1008, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001009,060411011001009,"Block 1009, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001010,060411011001010,"Block 1010, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001011,060411011001011,"Block 1011, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001012,060411011001012,"Block 1012, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001013,060411011001013,"Block 1013, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001014,060411011001014,"Block 1014, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001015,060411011001015,"Block 1015, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001016,060411011001016,"Block 1016, Block Group 1, Census Tract 1011, Marin County, California",134,128,6
1000000US060411011001017,060411011001017,"Block 1017, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001018,060411011001018,"Block 1018, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001019,060411011001019,"Block 1019, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001020,060411011001020,"Block 1020, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001021,060411011001021,"Block 1021, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001022,060411011001022,"Block 1022, Block Group 1, Census Tract 1011, Marin County, California",0,0,0
1000000US060411011001023,060411011001023,"Block 1023, Block Group 1, Census Tract 1011, Marin County, California",99,92,7
