Id,Id2,Geography,Number,Occupied,Vacant
1000000US060552002011000,060552002011000,"Block 1000, Block Group 1, Census Tract 2002.01, Napa County, California",22,16,6
1000000US060552002011001,060552002011001,"Block 1001, Block Group 1, Census Tract 2002.01, Napa County, California",224,215,9
1000000US060552002011002,060552002011002,"Block 1002, Block Group 1, Census Tract 2002.01, Napa County, California",0,0,0
1000000US060552002011003,060552002011003,"Block 1003, Block Group 1, Census Tract 2002.01, Napa County, California",0,0,0
1000000US060552002011004,060552002011004,"Block 1004, Block Group 1, Census Tract 2002.01, Napa County, California",0,0,0
1000000US060552002011005,060552002011005,"Block 1005, Block Group 1, Census Tract 2002.01, Napa County, California",0,0,0
1000000US060552002011006,060552002011006,"Block 1006, Block Group 1, Census Tract 2002.01, Napa County, California",0,0,0
1000000US060552002011007,060552002011007,"Block 1007, Block Group 1, Census Tract 2002.01, Napa County, California",0,0,0
1000000US060552002011008,060552002011008,"Block 1008, Block Group 1, Census Tract 2002.01, Napa County, California",1,0,1
1000000US060552002011009,060552002011009,"Block 1009, Block Group 1, Census Tract 2002.01, Napa County, California",31,29,2
1000000US060552002011010,060552002011010,"Block 1010, Block Group 1, Census Tract 2002.01, Napa County, California",0,0,0
1000000US060552002011011,060552002011011,"Block 1011, Block Group 1, Census Tract 2002.01, Napa County, California",2,1,1
1000000US060552002011012,060552002011012,"Block 1012, Block Group 1, Census Tract 2002.01, Napa County, California",37,32,5
1000000US060552002011013,060552002011013,"Block 1013, Block Group 1, Census Tract 2002.01, Napa County, California",7,7,0
1000000US060552002011014,060552002011014,"Block 1014, Block Group 1, Census Tract 2002.01, Napa County, California",16,14,2
1000000US060552002011015,060552002011015,"Block 1015, Block Group 1, Census Tract 2002.01, Napa County, California",0,0,0
1000000US060552002011016,060552002011016,"Block 1016, Block Group 1, Census Tract 2002.01, Napa County, California",4,4,0
1000000US060552002011017,060552002011017,"Block 1017, Block Group 1, Census Tract 2002.01, Napa County, California",31,25,6
1000000US060552002011018,060552002011018,"Block 1018, Block Group 1, Census Tract 2002.01, Napa County, California",37,36,1
1000000US060552002011019,060552002011019,"Block 1019, Block Group 1, Census Tract 2002.01, Napa County, California",4,4,0
1000000US060552002011020,060552002011020,"Block 1020, Block Group 1, Census Tract 2002.01, Napa County, California",10,9,1
1000000US060552002011021,060552002011021,"Block 1021, Block Group 1, Census Tract 2002.01, Napa County, California",25,25,0
1000000US060552002011022,060552002011022,"Block 1022, Block Group 1, Census Tract 2002.01, Napa County, California",11,11,0
1000000US060552002011023,060552002011023,"Block 1023, Block Group 1, Census Tract 2002.01, Napa County, California",9,9,0
1000000US060552002011024,060552002011024,"Block 1024, Block Group 1, Census Tract 2002.01, Napa County, California",12,12,0
1000000US060552002011025,060552002011025,"Block 1025, Block Group 1, Census Tract 2002.01, Napa County, California",13,11,2
