Id,Id2,Geography,Number,Occupied,Vacant
1000000US060750101001000,060750101001000,"Block 1000, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001001,060750101001001,"Block 1001, Block Group 1, Census Tract 101, San Francisco County, California",30,30,0
1000000US060750101001002,060750101001002,"Block 1002, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001003,060750101001003,"Block 1003, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001004,060750101001004,"Block 1004, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001005,060750101001005,"Block 1005, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001006,060750101001006,"Block 1006, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001007,060750101001007,"Block 1007, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001008,060750101001008,"Block 1008, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001009,060750101001009,"Block 1009, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001010,060750101001010,"Block 1010, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001011,060750101001011,"Block 1011, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001012,060750101001012,"Block 1012, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001013,060750101001013,"Block 1013, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001014,060750101001014,"Block 1014, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001015,060750101001015,"Block 1015, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001016,060750101001016,"Block 1016, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001017,060750101001017,"Block 1017, Block Group 1, Census Tract 101, San Francisco County, California",169,153,16
1000000US060750101001018,060750101001018,"Block 1018, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001019,060750101001019,"Block 1019, Block Group 1, Census Tract 101, San Francisco County, California",344,304,40
1000000US060750101001020,060750101001020,"Block 1020, Block Group 1, Census Tract 101, San Francisco County, California",72,60,12
1000000US060750101001021,060750101001021,"Block 1021, Block Group 1, Census Tract 101, San Francisco County, California",12,11,1
1000000US060750101001022,060750101001022,"Block 1022, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001023,060750101001023,"Block 1023, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001024,060750101001024,"Block 1024, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001025,060750101001025,"Block 1025, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001026,060750101001026,"Block 1026, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101001027,060750101001027,"Block 1027, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101002000,060750101002000,"Block 2000, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101002001,060750101002001,"Block 2001, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0
1000000US060750101002002,060750101002002,"Block 2002, Block Group 2, Census Tract 101, San Francisco County, California",285,274,11
