Id,Id2,Geography,Number,Occupied,Vacant
1000000US060855001001000,060855001001000,"Block 1000, Block Group 1, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001001001,060855001001001,"Block 1001, Block Group 1, Census Tract 5001, Santa Clara County, California",14,11,3
1000000US060855001001002,060855001001002,"Block 1002, Block Group 1, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001001003,060855001001003,"Block 1003, Block Group 1, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001001004,060855001001004,"Block 1004, Block Group 1, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001001005,060855001001005,"Block 1005, Block Group 1, Census Tract 5001, Santa Clara County, California",10,9,1
1000000US060855001001006,060855001001006,"Block 1006, Block Group 1, Census Tract 5001, Santa Clara County, California",16,15,1
1000000US060855001001007,060855001001007,"Block 1007, Block Group 1, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001001008,060855001001008,"Block 1008, Block Group 1, Census Tract 5001, Santa Clara County, California",2,2,0
1000000US060855001001009,060855001001009,"Block 1009, Block Group 1, Census Tract 5001, Santa Clara County, California",24,20,4
1000000US060855001001010,060855001001010,"Block 1010, Block Group 1, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001001011,060855001001011,"Block 1011, Block Group 1, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001001012,060855001001012,"Block 1012, Block Group 1, Census Tract 5001, Santa Clara County, California",4,4,0
1000000US060855001001013,060855001001013,"Block 1013, Block Group 1, Census Tract 5001, Santa Clara County, California",14,12,2
1000000US060855001001014,060855001001014,"Block 1014, Block Group 1, Census Tract 5001, Santa Clara County, California",22,19,3
1000000US060855001001015,060855001001015,"Block 1015, Block Group 1, Census Tract 5001, Santa Clara County, California",44,41,3
1000000US060855001001016,060855001001016,"Block 1016, Block Group 1, Census Tract 5001, Santa Clara County, California",56,56,0
1000000US060855001001017,060855001001017,"Block 1017, Block Group 1, Census Tract 5001, Santa Clara County, California",37,33,4
1000000US060855001001018,060855001001018,"Block 1018, Block Group 1, Census Tract 5001, Santa Clara County, California",37,33,4
1000000US060855001001019,060855001001019,"Block 1019, Block Group 1, Census Tract 5001, Santa Clara County, California",46,42,4
1000000US060855001002000,060855001002000,"Block 2000, Block Group 2, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001002001,060855001002001,"Block 2001, Block Group 2, Census Tract 5001, Santa Clara County, California",48,45,3
1000000US060855001002002,060855001002002,"Block 2002, Block Group 2, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001002003,060855001002003,"Block 2003, Block Group 2, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001002004,060855001002004,"Block 2004, Block Group 2, Census Tract 5001, Santa Clara County, California",28,26,2
1000000US060855001002005,060855001002005,"Block 2005, Block Group 2, Census Tract 5001, Santa Clara County, California",12,12,0
1000000US060855001002006,060855001002006,"Block 2006, Block Group 2, Census Tract 5001, Santa Clara County, California",7,3,4
1000000US060855001002007,060855001002007,"Block 2007, Block Group 2, Census Tract 5001, Santa Clara County, California",22,22,0
1000000US060855001002008,060855001002008,"Block 2008, Block Group 2, Census Tract 5001, Santa Clara County, California",24,20,4
1000000US060855001002009,060855001002009,"Block 2009, Block Group 2, Census Tract 5001, Santa Clara County, California",40,37,3
1000000US060855001002010,060855001002010,"Block 2010, Block Group 2, Census Tract 5001, Santa Clara County, California",31,30,1
1000000US060855001002011,060855001002011,"Block 2011, Block Group 2, Census Tract 5001, Santa Clara County, California",38,38,0
1000000US060855001002012,060855001002012,"Block 2012, Block Group 2, Census Tract 5001, Santa Clara County, California",21,18,3
1000000US060855001002013,060855001002013,"Block 2013, Block Group 2, Census Tract 5001, Santa Clara County, California",26,21,5
1000000US060855001002014,060855001002014,"Block 2014, Block Group 2, Census Tract 5001, Santa Clara County, California",27,24,3
1000000US060855001002015,060855001002015,"Block 2015, Block Group 2, Census Tract 5001, Santa Clara County, California",16,16,0
1000000US060855001002016,060855001002016,"Block 2016, Block Group 2, Census Tract 5001, Santa Clara County, California",10,9,1
1000000US060855001002017,060855001002017,"Block 2017, Block Group 2, Census Tract 5001, Santa Clara County, California",15,15,0
1000000US060855001002018,060855001002018,"Block 2018, Block Group 2, Census Tract 5001, Santa Clara County, California",12,12,0
1000000US060855001002019,060855001002019,"Block 2019, Block Group 2, Census Tract 5001, Santa Clara County, California",27,26,1
1000000US060855001002020,060855001002020,"Block 2020, Block Group 2, Census Tract 5001, Santa Clara County, California",20,18,2
1000000US060855001002021,060855001002021,"Block 2021, Block Group 2, Census Tract 5001, Santa Clara County, California",31,31,0
1000000US060855001003000,060855001003000,"Block 3000, Block Group 3, Census Tract 5001, Santa Clara County, California",81,81,0
1000000US060855001003001,060855001003001,"Block 3001, Block Group 3, Census Tract 5001, Santa Clara County, California",13,12,1
1000000US060855001003002,060855001003002,"Block 3002, Block Group 3, Census Tract 5001, Santa Clara County, California",71,71,0
1000000US060855001003003,060855001003003,"Block 3003, Block Group 3, Census Tract 5001, Santa Clara County, California",68,66,2
1000000US060855001003004,060855001003004,"Block 3004, Block Group 3, Census Tract 5001, Santa Clara County, California",30,28,2
1000000US060855001003005,060855001003005,"Block 3005, Block Group 3, Census Tract 5001, Santa Clara County, California",33,33,0
1000000US060855001003006,060855001003006,"Block 3006, Block Group 3, Census Tract 5001, Santa Clara County, California",32,32,0
1000000US060855001003007,060855001003007,"Block 3007, Block Group 3, Census Tract 5001, Santa Clara County, California",34,34,0
1000000US060855001003008,060855001003008,"Block 3008, Block Group 3, Census Tract 5001, Santa Clara County, California",41,38,3
1000000US060855001003009,060855001003009,"Block 3009, Block Group 3, Census Tract 5001, Santa Clara County, California",49,49,0
1000000US060855001003010,060855001003010,"Block 3010, Block Group 3, Census Tract 5001, Santa Clara County, California",61,61,0
1000000US060855001003011,060855001003011,"Block 3011, Block Group 3, Census Tract 5001, Santa Clara County, California",37,33,4
1000000US060855001004000,060855001004000,"Block 4000, Block Group 4, Census Tract 5001, Santa Clara County, California",9,9,0
1000000US060855001004001,060855001004001,"Block 4001, Block Group 4, Census Tract 5001, Santa Clara County, California",30,30,0
1000000US060855001004002,060855001004002,"Block 4002, Block Group 4, Census Tract 5001, Santa Clara County, California",12,12,0
1000000US060855001004003,060855001004003,"Block 4003, Block Group 4, Census Tract 5001, Santa Clara County, California",10,10,0
1000000US060855001004004,060855001004004,"Block 4004, Block Group 4, Census Tract 5001, Santa Clara County, California",10,10,0
1000000US060855001004005,060855001004005,"Block 4005, Block Group 4, Census Tract 5001, Santa Clara County, California",8,8,0
1000000US060855001004006,060855001004006,"Block 4006, Block Group 4, Census Tract 5001, Santa Clara County, California",8,7,1
1000000US060855001004007,060855001004007,"Block 4007, Block Group 4, Census Tract 5001, Santa Clara County, California",83,77,6
1000000US060855001004008,060855001004008,"Block 4008, Block Group 4, Census Tract 5001, Santa Clara County, California",17,17,0
1000000US060855001004009,060855001004009,"Block 4009, Block Group 4, Census Tract 5001, Santa Clara County, California",13,12,1
1000000US060855001004010,060855001004010,"Block 4010, Block Group 4, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001004011,060855001004011,"Block 4011, Block Group 4, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001004012,060855001004012,"Block 4012, Block Group 4, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001004013,060855001004013,"Block 4013, Block Group 4, Census Tract 5001, Santa Clara County, California",7,7,0
1000000US060855001004014,060855001004014,"Block 4014, Block Group 4, Census Tract 5001, Santa Clara County, California",20,19,1
1000000US060855001004015,060855001004015,"Block 4015, Block Group 4, Census Tract 5001, Santa Clara County, California",58,57,1
1000000US060855001004016,060855001004016,"Block 4016, Block Group 4, Census Tract 5001, Santa Clara County, California",29,28,1
1000000US060855001004017,060855001004017,"Block 4017, Block Group 4, Census Tract 5001, Santa Clara County, California",25,25,0
1000000US060855001004018,060855001004018,"Block 4018, Block Group 4, Census Tract 5001, Santa Clara County, California",0,0,0
1000000US060855001004019,060855001004019,"Block 4019, Block Group 4, Census Tract 5001, Santa Clara County, California",38,32,6
1000000US060855001004020,060855001004020,"Block 4020, Block Group 4, Census Tract 5001, Santa Clara County, California",35,33,2
1000000US060855001004021,060855001004021,"Block 4021, Block Group 4, Census Tract 5001, Santa Clara County, California",40,38,2
1000000US060855001004022,060855001004022,"Block 4022, Block Group 4, Census Tract 5001, Santa Clara County, California",38,34,4
1000000US060855001004023,060855001004023,"Block 4023, Block Group 4, Census Tract 5001, Santa Clara County, California",46,44,2
1000000US060855001004024,060855001004024,"Block 4024, Block Group 4, Census Tract 5001, Santa Clara County, California",20,18,2
1000000US060855001004025,060855001004025,"Block 4025, Block Group 4, Census Tract 5001, Santa Clara County, California",232,218,14
1000000US060855001004026,060855001004026,"Block 4026, Block Group 4, Census Tract 5001, Santa Clara County, California",53,50,3
