Id,Id2,Geography,Number,Occupied,Vacant
1000000US060952501031000,060952501031000,"Block 1000, Block Group 1, Census Tract 2501.03, Solano County, California",35,24,11
1000000US060952501031001,060952501031001,"Block 1001, Block Group 1, Census Tract 2501.03, Solano County, California",0,0,0
1000000US060952501031002,060952501031002,"Block 1002, Block Group 1, Census Tract 2501.03, Solano County, California",87,70,17
1000000US060952501031003,060952501031003,"Block 1003, Block Group 1, Census Tract 2501.03, Solano County, California",3,2,1
1000000US060952501031004,060952501031004,"Block 1004, Block Group 1, Census Tract 2501.03, Solano County, California",0,0,0
1000000US060952501031005,060952501031005,"Block 1005, Block Group 1, Census Tract 2501.03, Solano County, California",0,0,0
1000000US060952501031006,060952501031006,"Block 1006, Block Group 1, Census Tract 2501.03, Solano County, California",0,0,0
1000000US060952501031007,060952501031007,"Block 1007, Block Group 1, Census Tract 2501.03, Solano County, California",7,7,0
1000000US060952501031008,060952501031008,"Block 1008, Block Group 1, Census Tract 2501.03, Solano County, California",0,0,0
1000000US060952501031009,060952501031009,"Block 1009, Block Group 1, Census Tract 2501.03, Solano County, California",198,180,18
1000000US060952501031010,060952501031010,"Block 1010, Block Group 1, Census Tract 2501.03, Solano County, California",26,25,1
1000000US060952501031011,060952501031011,"Block 1011, Block Group 1, Census Tract 2501.03, Solano County, California",25,24,1
1000000US060952501031012,060952501031012,"Block 1012, Block Group 1, Census Tract 2501.03, Solano County, California",12,12,0
1000000US060952501031013,060952501031013,"Block 1013, Block Group 1, Census Tract 2501.03, Solano County, California",18,18,0
1000000US060952501031014,060952501031014,"Block 1014, Block Group 1, Census Tract 2501.03, Solano County, California",18,18,0
1000000US060952501031015,060952501031015,"Block 1015, Block Group 1, Census Tract 2501.03, Solano County, California",18,15,3
1000000US060952501031016,060952501031016,"Block 1016, Block Group 1, Census Tract 2501.03, Solano County, California",77,72,5
1000000US060952501031017,060952501031017,"Block 1017, Block Group 1, Census Tract 2501.03, Solano County, California",12,11,1
1000000US060952501031018,060952501031018,"Block 1018, Block Group 1, Census Tract 2501.03, Solano County, California",14,13,1
1000000US060952501031019,060952501031019,"Block 1019, Block Group 1, Census Tract 2501.03, Solano County, California",16,14,2
1000000US060952501031020,060952501031020,"Block 1020, Block Group 1, Census Tract 2501.03, Solano County, California",0,0,0
1000000US060952501032000,060952501032000,"Block 2000, Block Group 2, Census Tract 2501.03, Solano County, California",194,183,11
1000000US060952501032001,060952501032001,"Block 2001, Block Group 2, Census Tract 2501.03, Solano County, California",14,13,1
1000000US060952501032002,060952501032002,"Block 2002, Block Group 2, Census Tract 2501.03, Solano County, California",9,9,0
1000000US060952501032003,060952501032003,"Block 2003, Block Group 2, Census Tract 2501.03, Solano County, California",32,32,0
1000000US060952501032004,060952501032004,"Block 2004, Block Group 2, Census Tract 2501.03, Solano County, California",26,22,4
1000000US060952501032005,060952501032005,"Block 2005, Block Group 2, Census Tract 2501.03, Solano County, California",341,299,42
1000000US060952501032006,060952501032006,"Block 2006, Block Group 2, Census Tract 2501.03, Solano County, California",18,17,1
1000000US060952501032007,060952501032007,"Block 2007, Block Group 2, Census Tract 2501.03, Solano County, California",21,20,1
1000000US060952501033000,060952501033000,"Block 3000, Block Group 3, Census Tract 2501.03, Solano County, California",88,86,2
1000000US060952501033001,060952501033001,"Block 3001, Block Group 3, Census Tract 2501.03, Solano County, California",27,26,1
1000000US060952501033002,060952501033002,"Block 3002, Block Group 3, Census Tract 2501.03, Solano County, California",27,27,0
1000000US060952501033003,060952501033003,"Block 3003, Block Group 3, Census Tract 2501.03, Solano County, California",55,49,6
1000000US060952501033004,060952501033004,"Block 3004, Block Group 3, Census Tract 2501.03, Solano County, California",22,21,1
1000000US060952501033005,060952501033005,"Block 3005, Block Group 3, Census Tract 2501.03, Solano County, California",22,22,0
1000000US060952501033006,060952501033006,"Block 3006, Block Group 3, Census Tract 2501.03, Solano County, California",112,106,6
1000000US060952501033007,060952501033007,"Block 3007, Block Group 3, Census Tract 2501.03, Solano County, California",32,31,1
1000000US060952501033008,060952501033008,"Block 3008, Block Group 3, Census Tract 2501.03, Solano County, California",24,23,1
1000000US060952501033009,060952501033009,"Block 3009, Block Group 3, Census Tract 2501.03, Solano County, California",38,36,2
1000000US060952501041000,060952501041000,"Block 1000, Block Group 1, Census Tract 2501.04, Solano County, California",80,75,5
1000000US060952501041001,060952501041001,"Block 1001, Block Group 1, Census Tract 2501.04, Solano County, California",2,2,0
1000000US060952501041002,060952501041002,"Block 1002, Block Group 1, Census Tract 2501.04, Solano County, California",34,30,4
1000000US060952501041003,060952501041003,"Block 1003, Block Group 1, Census Tract 2501.04, Solano County, California",37,36,1
1000000US060952501041004,060952501041004,"Block 1004, Block Group 1, Census Tract 2501.04, Solano County, California",13,11,2
1000000US060952501041005,060952501041005,"Block 1005, Block Group 1, Census Tract 2501.04, Solano County, California",49,46,3
1000000US060952501041006,060952501041006,"Block 1006, Block Group 1, Census Tract 2501.04, Solano County, California",40,37,3
1000000US060952501041007,060952501041007,"Block 1007, Block Group 1, Census Tract 2501.04, Solano County, California",36,34,2
1000000US060952501041008,060952501041008,"Block 1008, Block Group 1, Census Tract 2501.04, Solano County, California",36,36,0
1000000US060952501041009,060952501041009,"Block 1009, Block Group 1, Census Tract 2501.04, Solano County, California",29,27,2
1000000US060952501042000,060952501042000,"Block 2000, Block Group 2, Census Tract 2501.04, Solano County, California",59,58,1
1000000US060952501042001,060952501042001,"Block 2001, Block Group 2, Census Tract 2501.04, Solano County, California",34,31,3
1000000US060952501042002,060952501042002,"Block 2002, Block Group 2, Census Tract 2501.04, Solano County, California",120,110,10
1000000US060952501042003,060952501042003,"Block 2003, Block Group 2, Census Tract 2501.04, Solano County, California",0,0,0
1000000US060952501042004,060952501042004,"Block 2004, Block Group 2, Census Tract 2501.04, Solano County, California",35,33,2
1000000US060952501042005,060952501042005,"Block 2005, Block Group 2, Census Tract 2501.04, Solano County, California",205,199,6
1000000US060952501042006,060952501042006,"Block 2006, Block Group 2, Census Tract 2501.04, Solano County, California",0,0,0
1000000US060952501042007,060952501042007,"Block 2007, Block Group 2, Census Tract 2501.04, Solano County, California",44,40,4
1000000US060952501042008,060952501042008,"Block 2008, Block Group 2, Census Tract 2501.04, Solano County, California",0,0,0
1000000US060952501051000,060952501051000,"Block 1000, Block Group 1, Census Tract 2501.05, Solano County, California",279,268,11
1000000US060952501051001,060952501051001,"Block 1001, Block Group 1, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501051002,060952501051002,"Block 1002, Block Group 1, Census Tract 2501.05, Solano County, California",28,27,1
1000000US060952501051003,060952501051003,"Block 1003, Block Group 1, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501051004,060952501051004,"Block 1004, Block Group 1, Census Tract 2501.05, Solano County, California",240,230,10
1000000US060952501051005,060952501051005,"Block 1005, Block Group 1, Census Tract 2501.05, Solano County, California",28,27,1
1000000US060952501051006,060952501051006,"Block 1006, Block Group 1, Census Tract 2501.05, Solano County, California",13,12,1
1000000US060952501051007,060952501051007,"Block 1007, Block Group 1, Census Tract 2501.05, Solano County, California",16,15,1
1000000US060952501051008,060952501051008,"Block 1008, Block Group 1, Census Tract 2501.05, Solano County, California",24,23,1
1000000US060952501051009,060952501051009,"Block 1009, Block Group 1, Census Tract 2501.05, Solano County, California",81,79,2
1000000US060952501051010,060952501051010,"Block 1010, Block Group 1, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501051011,060952501051011,"Block 1011, Block Group 1, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501051012,060952501051012,"Block 1012, Block Group 1, Census Tract 2501.05, Solano County, California",1,1,0
1000000US060952501051013,060952501051013,"Block 1013, Block Group 1, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501051014,060952501051014,"Block 1014, Block Group 1, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501051015,060952501051015,"Block 1015, Block Group 1, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052000,060952501052000,"Block 2000, Block Group 2, Census Tract 2501.05, Solano County, California",137,127,10
1000000US060952501052001,060952501052001,"Block 2001, Block Group 2, Census Tract 2501.05, Solano County, California",17,14,3
1000000US060952501052002,060952501052002,"Block 2002, Block Group 2, Census Tract 2501.05, Solano County, California",65,64,1
1000000US060952501052003,060952501052003,"Block 2003, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052004,060952501052004,"Block 2004, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052005,060952501052005,"Block 2005, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052006,060952501052006,"Block 2006, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052007,060952501052007,"Block 2007, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052008,060952501052008,"Block 2008, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052009,060952501052009,"Block 2009, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052010,060952501052010,"Block 2010, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052011,060952501052011,"Block 2011, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052012,060952501052012,"Block 2012, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052013,060952501052013,"Block 2013, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052014,060952501052014,"Block 2014, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052015,060952501052015,"Block 2015, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052016,060952501052016,"Block 2016, Block Group 2, Census Tract 2501.05, Solano County, California",16,16,0
1000000US060952501052017,060952501052017,"Block 2017, Block Group 2, Census Tract 2501.05, Solano County, California",40,40,0
1000000US060952501052018,060952501052018,"Block 2018, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052019,060952501052019,"Block 2019, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052020,060952501052020,"Block 2020, Block Group 2, Census Tract 2501.05, Solano County, California",132,120,12
1000000US060952501052021,060952501052021,"Block 2021, Block Group 2, Census Tract 2501.05, Solano County, California",1,1,0
1000000US060952501052022,060952501052022,"Block 2022, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052023,060952501052023,"Block 2023, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052024,060952501052024,"Block 2024, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052025,060952501052025,"Block 2025, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052026,060952501052026,"Block 2026, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052027,060952501052027,"Block 2027, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052028,060952501052028,"Block 2028, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052029,060952501052029,"Block 2029, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052030,060952501052030,"Block 2030, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052031,060952501052031,"Block 2031, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052032,060952501052032,"Block 2032, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052033,060952501052033,"Block 2033, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052034,060952501052034,"Block 2034, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052035,060952501052035,"Block 2035, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
1000000US060952501052036,060952501052036,"Block 2036, Block Group 2, Census Tract 2501.05, Solano County, California",0,0,0
