Id,Id2,Geography,Number,Occupied,Vacant
1000000US060971501001000,060971501001000,"Block 1000, Block Group 1, Census Tract 1501, Sonoma County, California",82,55,27
1000000US060971501001001,060971501001001,"Block 1001, Block Group 1, Census Tract 1501, Sonoma County, California",26,22,4
1000000US060971501001002,060971501001002,"Block 1002, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001003,060971501001003,"Block 1003, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001004,060971501001004,"Block 1004, Block Group 1, Census Tract 1501, Sonoma County, California",33,27,6
1000000US060971501001005,060971501001005,"Block 1005, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001006,060971501001006,"Block 1006, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001007,060971501001007,"Block 1007, Block Group 1, Census Tract 1501, Sonoma County, California",21,17,4
1000000US060971501001008,060971501001008,"Block 1008, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001009,060971501001009,"Block 1009, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001010,060971501001010,"Block 1010, Block Group 1, Census Tract 1501, Sonoma County, California",64,54,10
1000000US060971501001011,060971501001011,"Block 1011, Block Group 1, Census Tract 1501, Sonoma County, California",6,6,0
1000000US060971501001012,060971501001012,"Block 1012, Block Group 1, Census Tract 1501, Sonoma County, California",26,23,3
1000000US060971501001013,060971501001013,"Block 1013, Block Group 1, Census Tract 1501, Sonoma County, California",22,20,2
1000000US060971501001014,060971501001014,"Block 1014, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001015,060971501001015,"Block 1015, Block Group 1, Census Tract 1501, Sonoma County, California",28,19,9
1000000US060971501001016,060971501001016,"Block 1016, Block Group 1, Census Tract 1501, Sonoma County, California",4,4,0
1000000US060971501001017,060971501001017,"Block 1017, Block Group 1, Census Tract 1501, Sonoma County, California",19,15,4
1000000US060971501001018,060971501001018,"Block 1018, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001019,060971501001019,"Block 1019, Block Group 1, Census Tract 1501, Sonoma County, California",12,11,1
1000000US060971501001020,060971501001020,"Block 1020, Block Group 1, Census Tract 1501, Sonoma County, California",41,30,11
1000000US060971501001021,060971501001021,"Block 1021, Block Group 1, Census Tract 1501, Sonoma County, California",40,35,5
1000000US060971501001022,060971501001022,"Block 1022, Block Group 1, Census Tract 1501, Sonoma County, California",36,27,9
1000000US060971501001023,060971501001023,"Block 1023, Block Group 1, Census Tract 1501, Sonoma County, California",8,6,2
1000000US060971501001024,060971501001024,"Block 1024, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001025,060971501001025,"Block 1025, Block Group 1, Census Tract 1501, Sonoma County, California",7,4,3
1000000US060971501001026,060971501001026,"Block 1026, Block Group 1, Census Tract 1501, Sonoma County, California",5,4,1
1000000US060971501001027,060971501001027,"Block 1027, Block Group 1, Census Tract 1501, Sonoma County, California",1,1,0
1000000US060971501001028,060971501001028,"Block 1028, Block Group 1, Census Tract 1501, Sonoma County, California",10,7,3
1000000US060971501001029,060971501001029,"Block 1029, Block Group 1, Census Tract 1501, Sonoma County, California",29,26,3
1000000US060971501001030,060971501001030,"Block 1030, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001031,060971501001031,"Block 1031, Block Group 1, Census Tract 1501, Sonoma County, California",6,6,0
1000000US060971501001032,060971501001032,"Block 1032, Block Group 1, Census Tract 1501, Sonoma County, California",7,7,0
1000000US060971501001033,060971501001033,"Block 1033, Block Group 1, Census Tract 1501, Sonoma County, California",4,3,1
1000000US060971501001034,060971501001034,"Block 1034, Block Group 1, Census Tract 1501, Sonoma County, California",3,3,0
1000000US060971501001035,060971501001035,"Block 1035, Block Group 1, Census Tract 1501, Sonoma County, California",26,22,4
1000000US060971501001036,060971501001036,"Block 1036, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501001037,060971501001037,"Block 1037, Block Group 1, Census Tract 1501, Sonoma County, California",6,5,1
1000000US060971501001038,060971501001038,"Block 1038, Block Group 1, Census Tract 1501, Sonoma County, California",63,51,12
1000000US060971501001039,060971501001039,"Block 1039, Block Group 1, Census Tract 1501, Sonoma County, California",19,17,2
1000000US060971501001040,060971501001040,"Block 1040, Block Group 1, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002000,060971501002000,"Block 2000, Block Group 2, Census Tract 1501, Sonoma County, California",26,22,4
1000000US060971501002001,060971501002001,"Block 2001, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002002,060971501002002,"Block 2002, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002003,060971501002003,"Block 2003, Block Group 2, Census Tract 1501, Sonoma County, California",18,18,0
1000000US060971501002004,060971501002004,"Block 2004, Block Group 2, Census Tract 1501, Sonoma County, California",5,5,0
1000000US060971501002005,060971501002005,"Block 2005, Block Group 2, Census Tract 1501, Sonoma County, California",2,2,0
1000000US060971501002006,060971501002006,"Block 2006, Block Group 2, Census Tract 1501, Sonoma County, California",1,1,0
1000000US060971501002007,060971501002007,"Block 2007, Block Group 2, Census Tract 1501, Sonoma County, California",100,82,18
1000000US060971501002008,060971501002008,"Block 2008, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002009,060971501002009,"Block 2009, Block Group 2, Census Tract 1501, Sonoma County, California",8,8,0
1000000US060971501002010,060971501002010,"Block 2010, Block Group 2, Census Tract 1501, Sonoma County, California",9,9,0
1000000US060971501002011,060971501002011,"Block 2011, Block Group 2, Census Tract 1501, Sonoma County, California",26,24,2
1000000US060971501002012,060971501002012,"Block 2012, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002013,060971501002013,"Block 2013, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002014,060971501002014,"Block 2014, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002015,060971501002015,"Block 2015, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002016,060971501002016,"Block 2016, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002017,060971501002017,"Block 2017, Block Group 2, Census Tract 1501, Sonoma County, California",40,32,8
1000000US060971501002018,060971501002018,"Block 2018, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002019,060971501002019,"Block 2019, Block Group 2, Census Tract 1501, Sonoma County, California",6,5,1
1000000US060971501002020,060971501002020,"Block 2020, Block Group 2, Census Tract 1501, Sonoma County, California",3,1,2
1000000US060971501002021,060971501002021,"Block 2021, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002022,060971501002022,"Block 2022, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002023,060971501002023,"Block 2023, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002024,060971501002024,"Block 2024, Block Group 2, Census Tract 1501, Sonoma County, California",13,10,3
1000000US060971501002025,060971501002025,"Block 2025, Block Group 2, Census Tract 1501, Sonoma County, California",2,2,0
1000000US060971501002026,060971501002026,"Block 2026, Block Group 2, Census Tract 1501, Sonoma County, California",31,26,5
1000000US060971501002027,060971501002027,"Block 2027, Block Group 2, Census Tract 1501, Sonoma County, California",5,5,0
1000000US060971501002028,060971501002028,"Block 2028, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002029,060971501002029,"Block 2029, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002030,060971501002030,"Block 2030, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002031,060971501002031,"Block 2031, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002032,060971501002032,"Block 2032, Block Group 2, Census Tract 1501, Sonoma County, California",10,10,0
1000000US060971501002033,060971501002033,"Block 2033, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002034,060971501002034,"Block 2034, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002035,060971501002035,"Block 2035, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002036,060971501002036,"Block 2036, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002037,060971501002037,"Block 2037, Block Group 2, Census Tract 1501, Sonoma County, California",2,1,1
1000000US060971501002038,060971501002038,"Block 2038, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002039,060971501002039,"Block 2039, Block Group 2, Census Tract 1501, Sonoma County, California",1,1,0
1000000US060971501002040,060971501002040,"Block 2040, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002041,060971501002041,"Block 2041, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002042,060971501002042,"Block 2042, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002043,060971501002043,"Block 2043, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002044,060971501002044,"Block 2044, Block Group 2, Census Tract 1501, Sonoma County, California",1,1,0
1000000US060971501002045,060971501002045,"Block 2045, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501002046,060971501002046,"Block 2046, Block Group 2, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003000,060971501003000,"Block 3000, Block Group 3, Census Tract 1501, Sonoma County, California",28,22,6
1000000US060971501003001,060971501003001,"Block 3001, Block Group 3, Census Tract 1501, Sonoma County, California",72,57,15
1000000US060971501003002,060971501003002,"Block 3002, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003003,060971501003003,"Block 3003, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003004,060971501003004,"Block 3004, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003005,060971501003005,"Block 3005, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003006,060971501003006,"Block 3006, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003007,060971501003007,"Block 3007, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003008,060971501003008,"Block 3008, Block Group 3, Census Tract 1501, Sonoma County, California",2,0,2
1000000US060971501003009,060971501003009,"Block 3009, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003010,060971501003010,"Block 3010, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003011,060971501003011,"Block 3011, Block Group 3, Census Tract 1501, Sonoma County, California",7,4,3
1000000US060971501003012,060971501003012,"Block 3012, Block Group 3, Census Tract 1501, Sonoma County, California",2,0,2
1000000US060971501003013,060971501003013,"Block 3013, Block Group 3, Census Tract 1501, Sonoma County, California",25,21,4
1000000US060971501003014,060971501003014,"Block 3014, Block Group 3, Census Tract 1501, Sonoma County, California",15,13,2
1000000US060971501003015,060971501003015,"Block 3015, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003016,060971501003016,"Block 3016, Block Group 3, Census Tract 1501, Sonoma County, California",1,1,0
1000000US060971501003017,060971501003017,"Block 3017, Block Group 3, Census Tract 1501, Sonoma County, California",15,14,1
1000000US060971501003018,060971501003018,"Block 3018, Block Group 3, Census Tract 1501, Sonoma County, California",14,13,1
1000000US060971501003019,060971501003019,"Block 3019, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003020,060971501003020,"Block 3020, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003021,060971501003021,"Block 3021, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003022,060971501003022,"Block 3022, Block Group 3, Census Tract 1501, Sonoma County, California",1,1,0
1000000US060971501003023,060971501003023,"Block 3023, Block Group 3, Census Tract 1501, Sonoma County, California",15,9,6
1000000US060971501003024,060971501003024,"Block 3024, Block Group 3, Census Tract 1501, Sonoma County, California",15,13,2
1000000US060971501003025,060971501003025,"Block 3025, Block Group 3, Census Tract 1501, Sonoma County, California",15,14,1
1000000US060971501003026,060971501003026,"Block 3026, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003027,060971501003027,"Block 3027, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003028,060971501003028,"Block 3028, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003029,060971501003029,"Block 3029, Block Group 3, Census Tract 1501, Sonoma County, California",1,1,0
1000000US060971501003030,060971501003030,"Block 3030, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003031,060971501003031,"Block 3031, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003032,060971501003032,"Block 3032, Block Group 3, Census Tract 1501, Sonoma County, California",1,1,0
1000000US060971501003033,060971501003033,"Block 3033, Block Group 3, Census Tract 1501, Sonoma County, California",2,2,0
1000000US060971501003034,060971501003034,"Block 3034, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003035,060971501003035,"Block 3035, Block Group 3, Census Tract 1501, Sonoma County, California",2,2,0
1000000US060971501003036,060971501003036,"Block 3036, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003037,060971501003037,"Block 3037, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003038,060971501003038,"Block 3038, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003039,060971501003039,"Block 3039, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003040,060971501003040,"Block 3040, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003041,060971501003041,"Block 3041, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003042,060971501003042,"Block 3042, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003043,060971501003043,"Block 3043, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003044,060971501003044,"Block 3044, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003045,060971501003045,"Block 3045, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003046,060971501003046,"Block 3046, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003047,060971501003047,"Block 3047, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003048,060971501003048,"Block 3048, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003049,060971501003049,"Block 3049, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003050,060971501003050,"Block 3050, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003051,060971501003051,"Block 3051, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003052,060971501003052,"Block 3052, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003053,060971501003053,"Block 3053, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003054,060971501003054,"Block 3054, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003055,060971501003055,"Block 3055, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003056,060971501003056,"Block 3056, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003057,060971501003057,"Block 3057, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003058,060971501003058,"Block 3058, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003059,060971501003059,"Block 3059, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003060,060971501003060,"Block 3060, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003061,060971501003061,"Block 3061, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003062,060971501003062,"Block 3062, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003063,060971501003063,"Block 3063, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003064,060971501003064,"Block 3064, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003065,060971501003065,"Block 3065, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003066,060971501003066,"Block 3066, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003067,060971501003067,"Block 3067, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003068,060971501003068,"Block 3068, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003069,060971501003069,"Block 3069, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003070,060971501003070,"Block 3070, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003071,060971501003071,"Block 3071, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003072,060971501003072,"Block 3072, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003073,060971501003073,"Block 3073, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003074,060971501003074,"Block 3074, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003075,060971501003075,"Block 3075, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003076,060971501003076,"Block 3076, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003077,060971501003077,"Block 3077, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003078,060971501003078,"Block 3078, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003079,060971501003079,"Block 3079, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003080,060971501003080,"Block 3080, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003081,060971501003081,"Block 3081, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003082,060971501003082,"Block 3082, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003083,060971501003083,"Block 3083, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003084,060971501003084,"Block 3084, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003085,060971501003085,"Block 3085, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003086,060971501003086,"Block 3086, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003087,060971501003087,"Block 3087, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003088,060971501003088,"Block 3088, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003089,060971501003089,"Block 3089, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971501003090,060971501003090,"Block 3090, Block Group 3, Census Tract 1501, Sonoma County, California",0,0,0
1000000US060971502021000,060971502021000,"Block 1000, Block Group 1, Census Tract 1502.02, Sonoma County, California",12,8,4
1000000US060971502021001,060971502021001,"Block 1001, Block Group 1, Census Tract 1502.02, Sonoma County, California",1,0,1
1000000US060971502021002,060971502021002,"Block 1002, Block Group 1, Census Tract 1502.02, Sonoma County, California",26,19,7
1000000US060971502021003,060971502021003,"Block 1003, Block Group 1, Census Tract 1502.02, Sonoma County, California",28,24,4
1000000US060971502021004,060971502021004,"Block 1004, Block Group 1, Census Tract 1502.02, Sonoma County, California",81,65,16
1000000US060971502021005,060971502021005,"Block 1005, Block Group 1, Census Tract 1502.02, Sonoma County, California",22,16,6
1000000US060971502021006,060971502021006,"Block 1006, Block Group 1, Census Tract 1502.02, Sonoma County, California",32,27,5
1000000US060971502021007,060971502021007,"Block 1007, Block Group 1, Census Tract 1502.02, Sonoma County, California",46,39,7
1000000US060971502021008,060971502021008,"Block 1008, Block Group 1, Census Tract 1502.02, Sonoma County, California",16,13,3
1000000US060971502021009,060971502021009,"Block 1009, Block Group 1, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502021010,060971502021010,"Block 1010, Block Group 1, Census Tract 1502.02, Sonoma County, California",13,10,3
1000000US060971502021011,060971502021011,"Block 1011, Block Group 1, Census Tract 1502.02, Sonoma County, California",46,40,6
1000000US060971502021012,060971502021012,"Block 1012, Block Group 1, Census Tract 1502.02, Sonoma County, California",68,54,14
1000000US060971502021013,060971502021013,"Block 1013, Block Group 1, Census Tract 1502.02, Sonoma County, California",40,32,8
1000000US060971502021014,060971502021014,"Block 1014, Block Group 1, Census Tract 1502.02, Sonoma County, California",12,11,1
1000000US060971502021015,060971502021015,"Block 1015, Block Group 1, Census Tract 1502.02, Sonoma County, California",1,1,0
1000000US060971502022000,060971502022000,"Block 2000, Block Group 2, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502022001,060971502022001,"Block 2001, Block Group 2, Census Tract 1502.02, Sonoma County, California",19,13,6
1000000US060971502022002,060971502022002,"Block 2002, Block Group 2, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502022003,060971502022003,"Block 2003, Block Group 2, Census Tract 1502.02, Sonoma County, California",19,18,1
1000000US060971502022004,060971502022004,"Block 2004, Block Group 2, Census Tract 1502.02, Sonoma County, California",16,16,0
1000000US060971502022005,060971502022005,"Block 2005, Block Group 2, Census Tract 1502.02, Sonoma County, California",8,6,2
1000000US060971502022006,060971502022006,"Block 2006, Block Group 2, Census Tract 1502.02, Sonoma County, California",14,12,2
1000000US060971502022007,060971502022007,"Block 2007, Block Group 2, Census Tract 1502.02, Sonoma County, California",22,22,0
1000000US060971502022008,060971502022008,"Block 2008, Block Group 2, Census Tract 1502.02, Sonoma County, California",44,42,2
1000000US060971502022009,060971502022009,"Block 2009, Block Group 2, Census Tract 1502.02, Sonoma County, California",23,21,2
1000000US060971502022010,060971502022010,"Block 2010, Block Group 2, Census Tract 1502.02, Sonoma County, California",42,38,4
1000000US060971502022011,060971502022011,"Block 2011, Block Group 2, Census Tract 1502.02, Sonoma County, California",12,12,0
1000000US060971502022012,060971502022012,"Block 2012, Block Group 2, Census Tract 1502.02, Sonoma County, California",43,40,3
1000000US060971502022013,060971502022013,"Block 2013, Block Group 2, Census Tract 1502.02, Sonoma County, California",57,50,7
1000000US060971502022014,060971502022014,"Block 2014, Block Group 2, Census Tract 1502.02, Sonoma County, California",19,16,3
1000000US060971502022015,060971502022015,"Block 2015, Block Group 2, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502022016,060971502022016,"Block 2016, Block Group 2, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502022017,060971502022017,"Block 2017, Block Group 2, Census Tract 1502.02, Sonoma County, California",109,88,21
1000000US060971502022018,060971502022018,"Block 2018, Block Group 2, Census Tract 1502.02, Sonoma County, California",22,20,2
1000000US060971502022019,060971502022019,"Block 2019, Block Group 2, Census Tract 1502.02, Sonoma County, California",13,8,5
1000000US060971502022020,060971502022020,"Block 2020, Block Group 2, Census Tract 1502.02, Sonoma County, California",42,38,4
1000000US060971502022021,060971502022021,"Block 2021, Block Group 2, Census Tract 1502.02, Sonoma County, California",25,23,2
1000000US060971502022022,060971502022022,"Block 2022, Block Group 2, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502022023,060971502022023,"Block 2023, Block Group 2, Census Tract 1502.02, Sonoma County, California",14,14,0
1000000US060971502022024,060971502022024,"Block 2024, Block Group 2, Census Tract 1502.02, Sonoma County, California",2,2,0
1000000US060971502023000,060971502023000,"Block 3000, Block Group 3, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502023001,060971502023001,"Block 3001, Block Group 3, Census Tract 1502.02, Sonoma County, California",178,131,47
1000000US060971502023002,060971502023002,"Block 3002, Block Group 3, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502023003,060971502023003,"Block 3003, Block Group 3, Census Tract 1502.02, Sonoma County, California",16,13,3
1000000US060971502023004,060971502023004,"Block 3004, Block Group 3, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502023005,060971502023005,"Block 3005, Block Group 3, Census Tract 1502.02, Sonoma County, California",31,22,9
1000000US060971502023006,060971502023006,"Block 3006, Block Group 3, Census Tract 1502.02, Sonoma County, California",3,3,0
1000000US060971502023007,060971502023007,"Block 3007, Block Group 3, Census Tract 1502.02, Sonoma County, California",15,13,2
1000000US060971502023008,060971502023008,"Block 3008, Block Group 3, Census Tract 1502.02, Sonoma County, California",2,1,1
1000000US060971502023009,060971502023009,"Block 3009, Block Group 3, Census Tract 1502.02, Sonoma County, California",4,4,0
1000000US060971502023010,060971502023010,"Block 3010, Block Group 3, Census Tract 1502.02, Sonoma County, California",5,4,1
1000000US060971502023011,060971502023011,"Block 3011, Block Group 3, Census Tract 1502.02, Sonoma County, California",20,18,2
1000000US060971502023012,060971502023012,"Block 3012, Block Group 3, Census Tract 1502.02, Sonoma County, California",17,14,3
1000000US060971502023013,060971502023013,"Block 3013, Block Group 3, Census Tract 1502.02, Sonoma County, California",22,18,4
1000000US060971502023014,060971502023014,"Block 3014, Block Group 3, Census Tract 1502.02, Sonoma County, California",53,48,5
1000000US060971502023015,060971502023015,"Block 3015, Block Group 3, Census Tract 1502.02, Sonoma County, California",5,5,0
1000000US060971502023016,060971502023016,"Block 3016, Block Group 3, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502023017,060971502023017,"Block 3017, Block Group 3, Census Tract 1502.02, Sonoma County, California",1,1,0
1000000US060971502024000,060971502024000,"Block 4000, Block Group 4, Census Tract 1502.02, Sonoma County, California",43,28,15
1000000US060971502024001,060971502024001,"Block 4001, Block Group 4, Census Tract 1502.02, Sonoma County, California",16,7,9
1000000US060971502024002,060971502024002,"Block 4002, Block Group 4, Census Tract 1502.02, Sonoma County, California",15,10,5
1000000US060971502024003,060971502024003,"Block 4003, Block Group 4, Census Tract 1502.02, Sonoma County, California",20,13,7
1000000US060971502024004,060971502024004,"Block 4004, Block Group 4, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502024005,060971502024005,"Block 4005, Block Group 4, Census Tract 1502.02, Sonoma County, California",5,4,1
1000000US060971502024006,060971502024006,"Block 4006, Block Group 4, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502024007,060971502024007,"Block 4007, Block Group 4, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502024008,060971502024008,"Block 4008, Block Group 4, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502024009,060971502024009,"Block 4009, Block Group 4, Census Tract 1502.02, Sonoma County, California",143,121,22
1000000US060971502024010,060971502024010,"Block 4010, Block Group 4, Census Tract 1502.02, Sonoma County, California",0,0,0
1000000US060971502024011,060971502024011,"Block 4011, Block Group 4, Census Tract 1502.02, Sonoma County, California",1,1,0
1000000US060971502024012,060971502024012,"Block 4012, Block Group 4, Census Tract 1502.02, Sonoma County, California",13,13,0
1000000US060971502024013,060971502024013,"Block 4013, Block Group 4, Census Tract 1502.02, Sonoma County, California",36,34,2
1000000US060971502024014,060971502024014,"Block 4014, Block Group 4, Census Tract 1502.02, Sonoma County, California",43,43,0
1000000US060971502024015,060971502024015,"Block 4015, Block Group 4, Census Tract 1502.02, Sonoma County, California",70,66,4
