Name,Description,Lat,Lon
M 6.8 Izu Islands,2012 01 01,31.456,138.072
M 5.3 Santa Cruz Islands,2012 01 01,-11.366,166.218
M 5.2 South Island Of New Zealand,2012 01 01,-43.476,172.881
M 5.2 Northern Sumatra,2012 01 01,4.547,96.419
M 5.1 Guam Region,2012 01 01,12.008,143.487
M 5.1 South Island Of New Zealand,2012 01 01,-43.47,172.852
M 5.1 Guam Region,2012 01 01,12.018,143.607
M 5.1 Halmahera,2012 01 01,2.205,128.368
M 5.1 Vanuatu,2012 01 01,-14.381,166.921
M 5 Pacific-antarctic Ridge,2012 01 01,-58.259,-149.214
M 5 Bougainville Region,2012 01 01,-5.413,154.209
M 4.9 Pacific-antarctic Ridge,2012 01 01,-58.305,-149.238
M 4.9 South Of Kermadec Islands,2012 01 01,-33.802,-178.324
M 4.8 Off East Coast Of Honshu,2012 01 01,37.401,144.748
M 4.8 South Of Mariana Islands,2012 01 01,11.993,143.377
M 4.7 East Of Kuril Islands,2012 01 01,50.963,158.996
M 4.6 Tripura,2012 01 01,23.472,91.834
M 4.6 Andaman Islands,2012 01 01,10.632,91.737
M 4.6 South Of Mariana Islands,2012 01 01,11.972,143.659
M 4.6 Offshore Atacama,2012 01 01,-26.913,-71.105
M 4.5 Near East Coast Of Honshu,2012 01 01,37.844,141.351
M 4.5 Banda Sea,2012 01 01,-4.105,129.743
M 4.5 Southwestern Siberia,2012 01 01,51.92,96.229
M 4.5 Romania,2012 01 01,45.03,23.54
M 4.4 Guam Region,2012 01 01,12.014,143.536
M 4.3 Hokkaido,2012 01 01,41.755,144.535
M 4.3 Offshore Guatemala,2012 01 01,13.614,-90.509
M 4.3 South Island Of New Zealand,2012 01 01,-43.417,172.85
M 4.3 South Of Panama,2012 01 01,5.804,-82.598
M 4.3 North Of Barbuda,2012 01 01,19.584,-61.721
M 4.2 Banda Sea,2012 01 01,-6.747,130.008
M 4.2 Eastern Kazakhstan,2012 01 01,49.689,77.57
M 4.2 South Island Of New Zealand,2012 01 01,-43.437,172.836
M 4.1 Papua,2012 01 01,-3.207,137.723
M 4.1 Tajikistan,2012 01 01,38.706,70.671
M 4.1 South Island Of New Zealand,2012 01 01,-43.453,172.885
M 4.1 South Island Of New Zealand,2012 01 01,-43.458,172.882
M 4.1 South Island Of New Zealand,2012 01 01,-43.446,172.835
M 4.1 Offshore Maule,2012 01 01,-34.92,-72.759
M 4 Northern Colombia,2012 01 01,6.677,-73.11
M 4 Southeast Of Loyalty Islands,2012 01 01,-22.187,170.147
M 4 Sumbawa Region,2012 01 01,-8.3,118.724
M 4 South Island Of New Zealand,2012 01 01,-43.53,172.769
M 4 Offshore Guerrero,2012 01 01,17.094,-101.255
M 4 Oaxaca,2012 01 01,16.216,-97.986
M 3.9 South Island Of New Zealand,2012 01 01,-43.484,172.862
M 3.9 South Island Of New Zealand,2012 01 01,-43.476,172.857
M 3.8 South Island Of New Zealand,2012 01 01,-43.446,172.832
M 3.5 Rat Islands,2012 01 01,52.233,178.458
M 3 Central Alaska,2012 01 01,63.337,-147.516
M 3 Mona Passage,2012 01 01,18.176,-67.379
M 2.9 South Of Aleutian Islands,2012 01 01,52.284,-165.244
M 2.9 Andreanof Islands,2012 01 01,51.964,-179.833
M 2.8 Oklahoma,2012 01 01,35.53,-96.762
M 2.8 Oklahoma,2012 01 01,35.526,-96.766
M 2.7 Fox Islands,2012 01 01,51.983,-171.654
M 2.6 Puerto Rico Region,2012 01 01,17.867,-66.206
M 2.4 San Francisco Bay Area,2012 01 01,37.417,-121.822
M 2.2 Southern California,2012 01 01,33.997,-116.9
M 4.9 Rat Islands,2012 01 02,51.575,178.22
