Name,Description,Lat,Lon
M 8.6 Off W Coast Of Northern Sumatra,2012 04 11,2.327,93.063
M 8.2 Off W Coast Of Northern Sumatra,2012 04 11,0.802,92.463
M 7.8 Queen Charlotte Islands Region,2012 10 28,52.788,-132.101
M 7.7 Sea Of Okhotsk,2012 08 14,49.8,145.064
M 7.6 Philippine Islands Region,2012 08 31,10.811,126.638
M 7.6 Costa Rica,2012 09 05,10.085,-85.315
M 7.4 Oaxaca,2012 03 20,16.493,-98.231
M 7.4 Offshore Guatemala,2012 11 07,13.963,-91.854
M 7.3 Off The Coast Of El Salvador,2012 08 27,12.139,-88.59
M 7.3 Colombia,2012 09 30,1.929,-76.362
M 7.3 Off East Coast Of Honshu,2012 12 07,37.89,143.949
M 7.2 Off W Coast Of Northern Sumatra,2012 01 10,2.433,93.21
M 7.1 Vanuatu,2012 02 02,-17.827,167.133
M 7.1 Maule,2012 03 25,-35.2,-72.217
M 7.1 Banda Sea,2012 12 10,-6.533,129.825
M 7 Gulf Of California,2012 04 12,28.696,-113.104
M 6.9 Off East Coast Of Honshu,2012 03 14,40.887,144.944
M 6.8 Izu Islands,2012 01 01,31.456,138.072
M 6.8 Eastern New Guinea Reg.,2012 04 17,-5.462,147.117
M 6.8 Jan Mayen Island Region,2012 08 30,71.441,-10.605
M 6.8 Myanmar,2012 11 11,23.005,95.885
M 6.7 Negros- Cebu Reg,2012 02 06,9.999,123.206
M 6.7 Southwestern Siberia,2012 02 26,51.708,95.991
M 6.7 Vanuatu,2012 03 09,-19.125,169.613
M 6.7 Valparaiso,2012 04 17,-32.625,-71.365
M 6.7 Near N Coast Of Papua,2012 04 21,-1.617,134.276
M 6.7 Santiago Del Estero,2012 05 28,-28.043,-63.094
M 6.7 Mauritius - Reunion Region,2012 07 26,-17.592,66.391
M 6.7 Vanuatu,2012 12 21,-14.331,167.29
M 6.6 South Shetland Islands,2012 01 15,-60.948,-56.113
M 6.6 Southeast Of Loyalty Islands,2012 03 03,-22.141,170.34
M 6.6 New Guinea,2012 03 21,-6.242,145.955
M 6.6 Tonga,2012 04 28,-18.685,-174.705
M 6.6 Molucca Sea,2012 08 26,2.19,126.837
M 6.6 West Of Macquarie Island,2012 10 09,-60.326,153.699
M 6.6 Near S Coast Of Papua,2012 10 12,-4.892,134.03
M 6.5 Michoacan,2012 04 11,18.229,-102.689
M 6.5 New Ireland Region,2012 07 28,-4.651,153.173
M 6.5 Costa Rica,2012 10 24,10.086,-85.298
M 6.5 Offshore Guatemala,2012 11 11,14.129,-92.164
M 6.5 Kuril Islands,2012 11 16,49.28,155.425
M 6.4 Santa Cruz Islands,2012 01 09,-10.617,165.16
M 6.4 Near Coast Of Central Peru,2012 01 30,-14.168,-75.635
M 6.4 Solomon Islands,2012 02 14,-10.39,161.102
M 6.4 Simeulue,2012 07 25,2.707,96.045
M 6.4 Solomon Islands,2012 07 25,-9.694,159.727
M 6.4 Northwestern Iran,2012 08 11,38.329,46.826
M 6.4 Andreanof Islands,2012 09 26,51.592,-178.295
M 6.3 South Of Fiji Islands,2012 01 24,-24.977,178.52
M 6.3 Off Coast Of Aisen,2012 05 18,-44.806,-80.159
M 6.3 Off East Coast Of Honshu,2012 05 20,39.646,143.164
M 6.3 South Of Panama,2012 06 04,5.305,-82.629
M 6.3 South Of Panama,2012 06 04,5.508,-82.563
M 6.3 Near East Coast Of Honshu,2012 06 17,38.919,141.831
M 6.3 Northern Xinjiang,2012 06 29,43.433,84.7
M 6.3 Cook Strait,2012 07 03,-40.023,173.756
M 6.3 Vanuatu,2012 07 06,-14.657,167.34
M 6.3 Sulawesi,2012 08 18,-1.315,120.096
M 6.3 Gulf Of California,2012 09 25,24.666,-110.173
M 6.3 Queen Charlotte Islands Region,2012 10 28,52.674,-132.602
M 6.3 Gulf Of Alaska,2012 11 12,57.792,-142.855
M 6.3 North Island Of New Zealand,2012 12 07,-38.278,176.099
M 6.3 Off W. Coast Of Baja California,2012 12 14,31.213,-119.56
M 6.2 Offshore Chiapas,2012 01 21,14.873,-93.005
M 6.2 New Britain Region,2012 03 14,-5.595,151.042
M 6.2 Drake Passage,2012 04 14,-57.679,-65.308
M 6.2 Vanuatu,2012 04 14,-18.972,168.741
M 6.2 Off W Coast Of Northern Sumatra,2012 04 15,2.581,90.269
